Date,Time,StationName,StationCode,Latitude,Longitude,GroupCode,SampleId,SampleDepth,Air temperature (AT.5),Air temperature (AT.5) Code,Air temperature (AT.5) Problem,Air temperature (AT.5) Qualifier,Air temperature (AT.5) Tier,Air temperature (AT.5) Units,Bacteria (E.Coli) (ECOLI.1),Bacteria (E.Coli) (ECOLI.1) Code,Bacteria (E.Coli) (ECOLI.1) Problem,Bacteria (E.Coli) (ECOLI.1) Qualifier,Bacteria (E.Coli) (ECOLI.1) Tier,Bacteria (E.Coli) (ECOLI.1) Units,Bacteria (E.Coli) (ECOLI.4),Bacteria (E.Coli) (ECOLI.4) Code,Bacteria (E.Coli) (ECOLI.4) Problem,Bacteria (E.Coli) (ECOLI.4) Qualifier,Bacteria (E.Coli) (ECOLI.4) Tier,Bacteria (E.Coli) (ECOLI.4) Units,Chlorophyll a (CHL.2),Chlorophyll a (CHL.2) Code,Chlorophyll a (CHL.2) Problem,Chlorophyll a (CHL.2) Qualifier,Chlorophyll a (CHL.2) Tier,Chlorophyll a (CHL.2) Units,Conductivity (CO.5),Conductivity (CO.5) Code,Conductivity (CO.5) Problem,Conductivity (CO.5) Qualifier,Conductivity (CO.5) Tier,Conductivity (CO.5) Units,Dissolved oxygen % Sat (DO.3),Dissolved oxygen % Sat (DO.3) Code,Dissolved oxygen % Sat (DO.3) Problem,Dissolved oxygen % Sat (DO.3) Qualifier,Dissolved oxygen % Sat (DO.3) Tier,Dissolved oxygen % Sat (DO.3) Units,Dissolved oxygen % Sat (DO.6),Dissolved oxygen % Sat (DO.6) Code,Dissolved oxygen % Sat (DO.6) Problem,Dissolved oxygen % Sat (DO.6) Qualifier,Dissolved oxygen % Sat (DO.6) Tier,Dissolved oxygen % Sat (DO.6) Units,Dissolved oxygen (DO.2),Dissolved oxygen (DO.2) Code,Dissolved oxygen (DO.2) Problem,Dissolved oxygen (DO.2) Qualifier,Dissolved oxygen (DO.2) Tier,Dissolved oxygen (DO.2) Units,Dissolved oxygen (DO.5),Dissolved oxygen (DO.5) Code,Dissolved oxygen (DO.5) Problem,Dissolved oxygen (DO.5) Qualifier,Dissolved oxygen (DO.5) Tier,Dissolved oxygen (DO.5) Units,Enterococcus (ENT.2),Enterococcus (ENT.2) Code,Enterococcus (ENT.2) Problem,Enterococcus (ENT.2) Qualifier,Enterococcus (ENT.2) Tier,Enterococcus (ENT.2) Units,pH (PH.7),pH (PH.7) Code,pH (PH.7) Problem,pH (PH.7) Qualifier,pH (PH.7) Tier,pH (PH.7) Units,Salinity (SA.1),Salinity (SA.1) Code,Salinity (SA.1) Problem,Salinity (SA.1) Qualifier,Salinity (SA.1) Tier,Salinity (SA.1) Units,Salinity (SA.6),Salinity (SA.6) Code,Salinity (SA.6) Problem,Salinity (SA.6) Qualifier,Salinity (SA.6) Tier,Salinity (SA.6) Units,Total Depth (TD.1),Total Depth (TD.1) Code,Total Depth (TD.1) Problem,Total Depth (TD.1) Qualifier,Total Depth (TD.1) Tier,Total Depth (TD.1) Units,Total Nitrogen (TN.1),Total Nitrogen (TN.1) Code,Total Nitrogen (TN.1) Problem,Total Nitrogen (TN.1) Qualifier,Total Nitrogen (TN.1) Tier,Total Nitrogen (TN.1) Units,Total Nitrogen (TN.2),Total Nitrogen (TN.2) Code,Total Nitrogen (TN.2) Problem,Total Nitrogen (TN.2) Qualifier,Total Nitrogen (TN.2) Tier,Total Nitrogen (TN.2) Units,Total Phosphorus (TP.1),Total Phosphorus (TP.1) Code,Total Phosphorus (TP.1) Problem,Total Phosphorus (TP.1) Qualifier,Total Phosphorus (TP.1) Tier,Total Phosphorus (TP.1) Units,Total Phosphorus (TP.3),Total Phosphorus (TP.3) Code,Total Phosphorus (TP.3) Problem,Total Phosphorus (TP.3) Qualifier,Total Phosphorus (TP.3) Tier,Total Phosphorus (TP.3) Units,Water Clarity (WC.1),Water Clarity (WC.1) Code,Water Clarity (WC.1) Problem,Water Clarity (WC.1) Qualifier,Water Clarity (WC.1) Tier,Water Clarity (WC.1) Units,Water Clarity (WC.2),Water Clarity (WC.2) Code,Water Clarity (WC.2) Problem,Water Clarity (WC.2) Qualifier,Water Clarity (WC.2) Tier,Water Clarity (WC.2) Units,Water temperature (WT.3),Water temperature (WT.3) Code,Water temperature (WT.3) Problem,Water temperature (WT.3) Qualifier,Water temperature (WT.3) Tier,Water temperature (WT.3) Units,Water temperature (WT.4),Water temperature (WT.4) Code,Water temperature (WT.4) Problem,Water temperature (WT.4) Qualifier,Water temperature (WT.4) Tier,Water temperature (WT.4) Units,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 24 Hours,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,ModifiedDate,Comments
03/19/2019,16:35:00,NR-7,NRPA.NR-7,36.740257,-76.579794,NRPA,1,0.3,8.9,AT.5,,,1,deg C,320,ECOLI.1,,,1,CFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29,DO.2,,,2,mg/L,,,,,,,,,,,,,7,PH.7,,,1,SU,0,SA.1,,,1,ppt,,,,,,,5.6,TD.1,,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,0.6,WC.1,,,1,M,,,,,,,13.6,WT.3,,,2,deg C,,,,,,,,,,0,,,,,,Brown,,Normal,,,,Sunny,,,,2020-02-18T10:20:08.637,
03/24/2019,12:28:00,DENA2,NWA.DENA2,38.6336,-75.6177,NWA,1,0.5,,,,,,,,,,,,,,,,,,,9.34,CHL.2,,,2,ug/L,,,,,,,,,,,,,93.9,DO.6,,,3,pct,,,,,,,10.6,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,1.1,TD.1,,,1,M,4.24,TN.1,,,2,mg/L,,,,,,,0.05,TP.1,,<,2,mg/L,,,,,,,,,,,,,0.9,WC.2,,,3,M,,,,,,,10.2,WT.4,,,3,deg C,,Packed parking lot of boat trailers.,,,,,,,Low,,,,,Ripple,,Sunny,,,,2020-01-10T10:23:35.937,
03/24/2019,12:46:00,COBR1,NWA.COBR1,38.6422,-75.6068,NWA,1,0.3,,,,,,,,,,,,,,,,,,,10.31,CHL.2,,,2,ug/L,,,,,,,,,,,,,101.2,DO.6,,,3,pct,,,,,,,11,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,0.5,TD.1,,,1,M,6.13,TN.1,,,2,mg/L,,,,,,,0.05,TP.1,,<,2,mg/L,,,,,,,,,,,,,0.5,WC.2,,,3,M,,,,,,,11.6,WT.4,,,3,deg C,,"3 osprey, 3 GB heron, 1 cormorant",,,,,,,Low,,,,,Ripple,,Sunny,,,,2020-01-08T15:05:47.07,
03/24/2019,13:05:00,DENA4,NWA.DENA4,38.6013,-75.6563,NWA,1,0.5,,,,,,,,,,,,,,,,,,,9.89,CHL.2,,,2,ug/L,,,,,,,,,,,,,97,DO.6,,,3,pct,,,,,,,11,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,3.8,TD.1,,,1,M,4.41,TN.1,,,2,mg/L,,,,,,,0.05,TP.1,,<,2,mg/L,,,,,,,,,,,,,0.7,WC.2,,,3,M,,,,,,,10.1,WT.4,,,3,deg C,,Fisherman caught striped bass. Conducted sampling from floating dock.,,,,,,,Low,,,,,Waves,,Sunny,,,,2020-01-10T11:34:58.147,
03/24/2019,13:05:00,DENA4,NWA.DENA4,38.6013,-75.6563,NWA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,DO.6,,,3,pct,,,,,,,10.9,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,WT.4,,,3,deg C,,Fisherman caught striped bass. Conducted sampling from floating dock.,,,,,,,Low,,,,,Waves,,Sunny,,,,2020-01-10T11:34:58.147,
03/24/2019,13:05:00,DENA4,NWA.DENA4,38.6013,-75.6563,NWA,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,DO.6,,,3,pct,,,,,,,10.9,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,WT.4,,,3,deg C,,Fisherman caught striped bass. Conducted sampling from floating dock.,,,,,,,Low,,,,,Waves,,Sunny,,,,2020-01-10T11:34:58.147,
03/24/2019,13:05:00,DENA4,NWA.DENA4,38.6013,-75.6563,NWA,1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,DO.6,,,3,pct,,,,,,,10.6,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,WT.4,,,3,deg C,,Fisherman caught striped bass. Conducted sampling from floating dock.,,,,,,,Low,,,,,Waves,,Sunny,,,,2020-01-10T11:34:58.147,
03/24/2019,13:05:00,DENA4,NWA.DENA4,38.6013,-75.6563,NWA,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,DO.6,,,3,pct,,,,,,,10.9,DO.5,,,3,mg/L,,,,,,,,,,,,,,,,,,,0.1,SA.6,,,3,ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,WT.4,,,3,deg C,,Fisherman caught striped bass. Conducted sampling from floating dock.,,,,,,,Low,,,,,Waves,,Sunny,,,,2020-01-10T11:34:58.147,
03/24/2019,13:50:00,DEHE2,NWA.DEHE2,38.7283,-75.562,NWA,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,105.2,CO.5,,,2,uS/cm,124.4,DO.3,,,2,pct,,,,,,,13.6,DO.2,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TD.1,,,1,M,5.3,TN.1,,,2,mg/L,,,,,,,0.05,TP.1,,<,2,mg/L,,,,,,,2,WC.1,,,1,M,,,,,,,11.3,WT.3,,,2,deg C,,,,,,,,DEHE 2 sadly had trash collecting at fallen tree across creek.,,,,,,,,,,,,Calm,,Sunny,,,,2020-01-27T09:20:58.253,
03/24/2019,13:50:00,DEHE2,NWA.DEHE2,38.7283,-75.562,NWA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,105.1,CO.5,,,2,uS/cm,123,DO.3,,,2,pct,,,,,,,13.4,DO.2,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,WT.3,,,2,deg C,,,,,,,,DEHE 2 sadly had trash collecting at fallen tree across creek.,,,,,,,,,,,,Calm,,Sunny,,,,2020-01-27T09:20:58.253,
