Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
MDE.0102003,0102003,,39.303056,-76.323056,,Saltpeter Creek-Gunpowder River,,NAD83,Baltimore County,TRUE,,24005,020600030602,Maryland,Upper Chesapeake
MDE.0102016,0102016,,39.241667,-76.397778,,Back River-Hawk Cove-Chesapeake Bay,,NAD83,Baltimore County,TRUE,,24005,020600030703,Maryland,Upper Chesapeake
MDE.0102017,0102017,,39.25861,-76.44333,,Back River-Hawk Cove-Chesapeake Bay,,NAD83,Baltimore County,TRUE,,24005,020600030703,Maryland,Upper Chesapeake
MDE.0102018,0102018,,39.29,-76.467222,,Back River-Hawk Cove-Chesapeake Bay,,NAD83,Baltimore County,TRUE,,24005,020600030703,Maryland,Upper Chesapeake
MDE.0103008,0103008,,39.476931,-75.943156,,Lower Elk River,,NAD83,Cecil County,TRUE,,24015,020600020207,Maryland,Upper Chesapeake
MDE.0103013,0103013,,39.38261,-76.06811,,Upper Chesapeake Bay,,NAD83,Kent County,TRUE,,24029,020600010000,Maryland,Upper Chesapeake
MDE.0301003,0301003,,39.0692,-76.48061,,Sillery Bay-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040102,Maryland,Upper Chesapeake
MDE.0301005C,0301005C,,39.0875,-76.460833,,Sillery Bay-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040102,Maryland,Upper Chesapeake
MDE.0301009,0301009,,39.0568,-76.43667,,Sillery Bay-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040102,Maryland,Upper Chesapeake
MDE.0303004,0303004,,38.98667,-76.4375,,Whitehall Creek-Severn River-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040203,Maryland,Upper Chesapeake
MDE.0303200,0303200,,38.96833,-76.45389,,Whitehall Creek-Severn River-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040203,Maryland,Upper Chesapeake
MDE.0304008,0304008,,39.029167,-76.526111,,Whitehall Creek-Severn River-Chesapeake Bay,,NAD83,Anne Arundel County,TRUE,,24003,020600040203,Maryland,Upper Chesapeake
MDE.0306006,0306006,,38.935556,-76.523056,,Beards Creek-South River,,NAD83,Anne Arundel County,TRUE,,24003,020600040302,Maryland,Upper Chesapeake
MDE.0306017,0306017,,38.915,-76.489444,,Beards Creek-South River,,NAD83,Anne Arundel County,TRUE,,24003,020600040302,Maryland,Upper Chesapeake
MDE.0306110,0306110,,38.950833,-76.557778,,Beards Creek-South River,,NAD83,Anne Arundel County,TRUE,,24003,020600040302,Maryland,Upper Chesapeake
MDE.0307108,0307108,,38.860833,-76.511944,,Rhode River-West River,,NAD83,Anne Arundel County,TRUE,,24003,020600040401,Maryland,Upper Chesapeake
MDE.0307117,0307117,,38.8775,-76.518333,,Rhode River-West River,,NAD83,Anne Arundel County,TRUE,,24003,020600040401,Maryland,Upper Chesapeake
MDE.0307204,0307204,,38.854681,-76.531378,,Rhode River-West River,,NAD83,Anne Arundel County,TRUE,,24003,020600040401,Maryland,Upper Chesapeake
MDE.0401002,0401002,,39.15444,-76.06806,,Middle Chester River,,NAD83,Kent County,TRUE,,24029,020600020408,Maryland,Upper Chesapeake
MDE.0403004A,0403004A,,39.0875,-76.165556,,Lower Chester River,,NAD83,Queen Anne's County,TRUE,,24035,020600020411,Maryland,Upper Chesapeake
MDE.0404019A,0404019A,,39.023611,-76.265556,,Lower Chester River,,NAD83,Queen Anne's County,TRUE,,24035,020600020411,Maryland,Upper Chesapeake
MDE.0801028,0801028,,38.76458,-76.17628,,Miles River,,NAD83,Talbot County,TRUE,,24041,020600020605,Maryland,Upper Chesapeake
MDE.0802010,0802010,,38.888056,-76.180278,,Wye River,,NAD83,Queen Anne's County,TRUE,,24035,020600020604,Maryland,Upper Chesapeake
MDE.0804014,0804014,,38.842222,-76.303611,,Eastern Bay Deep,,NAD83,Talbot County,TRUE,,24041,020600020609,Maryland,Upper Chesapeake
MDE.0804019,0804019,,38.898333,-76.313333,,Cox Creek-Eastern Bay,,NAD83,Queen Anne's County,TRUE,,24035,020600020607,Maryland,Upper Chesapeake
MDE.0806006A,0806006A,,38.73336,-76.13172,,Tred Avon River-Choptank River,,NAD83,Talbot County,TRUE,,24041,020600050504,Maryland,Upper Chesapeake
MDE.0807004,0807004,,38.755833,-76.22722,,Broad Creek-Choptank River,,NAD83,Talbot County,TRUE,,24041,020600050505,Maryland,Upper Chesapeake
MDE.0808044,0808044,,38.753333,-76.307778,,Harris Creek-Coptank River,,NAD83,Talbot County,TRUE,,24041,020600050506,Maryland,Upper Chesapeake
MDE.1001017,1001017,,38.59856,-75.98742,,Bolingbroke Creek-Choptank River,,NAD83,Talbot County,TRUE,,24041,020600050502,Maryland,Upper Chesapeake
MDE.1001701,1001701,,38.64214,-75.96519,,Warwick River-Choptank River,,NAD83,Talbot County,TRUE,,24041,020600050501,Maryland,Upper Chesapeake
MDE.1003011,1003011,,38.63153,-76.138333,,LaTrappe Creek-Choptank River,,NAD83,Talbot County,TRUE,,24041,020600050503,Maryland,Upper Chesapeake
MDE.1007015,1007015,,38.5525,-76.2125,,Fishing Creek-Little Choptank River,,NAD83,Dorchester County,TRUE,,24019,020600050401,Maryland,Upper Chesapeake
MDE.1104022A,1104022A,,38.188056,-76.438889,,Eastern Branch-Saint Marys River,,NAD83,St. Mary's County,TRUE,,24037,020700110902,Maryland,Potomac
MDE.1301024,1301024,,38.276667,-76.824167,,Charleston Creek-Wicomico River,,NAD83,Charles County,TRUE,,24017,020700110504,Maryland,Potomac
MDE.1302025,1302025,,38.263611,-76.649444,,Glebe Run-Breton Bay,,NAD83,St. Mary's County,TRUE,,24037,020700110703,Maryland,Potomac
MDE.1302702,1302702,,38.257778,-76.713056,,Saint Clements Creek-Saint Clements Bay,,NAD83,St. Mary's County,TRUE,,24037,020700110701,Maryland,Potomac
MDE.1304045,1304045,,38.23575,-76.851,,Potomac River Channel,,NAD83,Charles County,TRUE,,24017,020700111001,Maryland,Potomac
