Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
NYWS.APACRE0.42,APACRE 0.42,,42.062312,-76.148947,,Apalachin Creek,Main St bridge,NAD83,Tioga County,FALSE,,36107,020501030501,New York,
NYWS.APACRE3.24,APACRE 3.24,,42.03676,-76.16136,,Apalachin Creek,Apalachin Creek,NAD83,Tioga County,FALSE,,36107,020501030501,New York,
NYWS.BAKCRE0.22,BAKCRE 0.22,,42.26401,-77.54923,,Middle Canisteo River,Baker Creek 2,NAD83,Steuben County,FALSE,,36101,020501040408,New York,
NYWS.BELBRO1.43,BELBRO 1.43,,42.189021,-75.637646,,Belden Brook-Susquehanna River,Belden Brook,NAD83,Broome County,FALSE,,36007,020501011206,New York,
NYWS.BRACRE0.57,BRACRE 0.57,,42.152842,-76.058629,,Lower Nanticoke Creek,Bradley Creek,NAD83,Broome County,FALSE,,36007,020501030105,New York,
NYWS.BRACRE4.58,BRACRE 4.58,,42.185158,-76.011347,,Lower Nanticoke Creek,Bradley Creek Rd at Wyok Rd,NAD83,Broome County,FALSE,,36007,020501030105,New York,
NYWS.BUNHILCRE1.91,BUNHILCRE 1.91,,42.08145,-75.98735,,Little Choconut Creek-Susquehanna River,Bunn Hill Creek,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.BUTCRE0.43,BUTCRE 0.43,,42.0507,-76.4518,,Parks Creek-Susquehanna River,Butson Creek,NAD83,Tioga County,FALSE,,36107,020501030706,New York,
OCCA.BUTCRE17.90,BUTCRE 17.90,Butternut Creek 17.90,42.545443,-75.238748,,Middle Butternut Creek,At Morris,NAD83,Otsego County,FALSE,,36077,020501010802,New York,Upper Susquehanna
OCCA.BUTCRE23.20,BUTCRE 23.20,Butternut Creek 23.20,42.58939,-75.19321,,Middle Butternut Creek,At Route 12,NAD83,Otsego County,FALSE,,36077,020501010802,New York,Upper Susquehanna
NYWS.BWC001,BWC001,,42.40083,-75.63361,,Wheeler Brook-Chenango River,Bowman Creek,NAD83,Chenango County,FALSE,,36017,020501020804,New York,
NYWS.CAMCRE2.47,CAMCRE 2.47,,42.346255,-77.397791,,Campbell Creek,Campbell Creek,NAD83,Steuben County,FALSE,,36101,020501050204,New York,
NYWS.CANCRE12.44,CANCRE  12.44,,42.256935,-77.789058,,Upper Canacadea Creek,West Branch of Canacadea Creek,NAD83,Allegany County,FALSE,,36003,020501040103,New York,
NYWS.CANCRE1.64,CANCRE 1.64,,42.5347,-75.535167,,Canasawacta Creek,Canasawacta Creek at Kurt Beyer Pool,NAD83,Chenango County,FALSE,,36017,020501020606,New York,
NYWS.CANCRE10.52,CANCRE 10.52,,42.267864,-77.758776,,Upper Canacadea Creek,Canacadea Creek,NAD83,Allegany County,FALSE,,36003,020501040103,New York,
NYWS.CANCRE14.36,CANCRE 14.36,,42.608625,-75.702733,,Canasawacta Creek,Canasawacta Creek at Fred Steward Rd,NAD83,Chenango County,FALSE,,36017,020501020606,New York,
NYWS.CANCRE6.25,CANCRE 6.25,,42.319399,-77.73649,,Lower Canacadea Creek,Canacadea Creek in Almond.,NAD83,Allegany County,FALSE,,36003,020501040104,New York,
NYWS.CANCRE13.29,CANCRE13.29,Canacadea Creek,42.25226,-77.8027,,Upper Canacadea Creek,W Branch of Canacadea Creek near Waterwells Rd,NAD83,Allegany County,FALSE,,36003,020501040103,New York,Upper Susquehanna
NYWS.CANRIV15.40,CANRIV 15.40,,42.173121,-77.330564,,Lower Canisteo River,Canisteo River at Saunders Rd,NAD83,Steuben County,FALSE,,36101,020501040411,New York,
NYWS.CANRIV32.12,CANRIV 32.12,,42.2553,-77.561094,,Middle Canisteo River,Black Creek trib,NAD83,Steuben County,FALSE,,36101,020501040408,New York,
NYWS.CANRIV49.45,CANRIV 49.45,Canisteo River at Ellis Hill Rd,42.38852,-77.7286,,Headwaters Canisteo River,Canisteo River at Ellis Hill Rd,NAD83,Steuben County,FALSE,,36101,020501040402,New York,Upper Susquehanna
NYWS.CANRIV49.80,CANRIV 49.80,,42.385875,-77.7281,,Headwaters Canisteo River,Canisteo River south of Ellis Hill Rd,NAD83,Steuben County,FALSE,,36101,020501040402,New York,
NYWS.CANRIV55.88,CANRIV 55.88,,42.363376,-77.820421,,Headwaters Canisteo River,Canisteo River at Bush Rd.,NAD83,Allegany County,FALSE,,36003,020501040402,New York,
NYWS.CARCRE0.61,CARCRE 0.61,,42.0637,-75.8086,,Carlin Creek,Carlin Creek,NAD83,Broome County,FALSE,,36007,020501011312,New York,
NYWS.CASCRE0.04,CASCRE 0.04,,42.158794,-75.891848,,Castle Creek,Castle Creek,NAD83,Broome County,FALSE,,36007,020501020809,New York,
NYWS.CASCRE0.87,CASCRE 0.87,,42.168823,-75.899533,,Castle Creek,Castle Creek 2,NAD83,Broome County,FALSE,,36007,020501020809,New York,
TUCCC.CASTCR001,CASTCR001,Castle Creek,42.16879,-75.89955,,Castle Creek,Castle Creek,NAD83,Broome County,FALSE,,36007,020501020809,New York,
BCVM.CAYCRE2.41,CAYCRE2.41,Cayuta Creek 2.41,42.008606,-76.52664,,Lower Cayuta Creek,Cayuta Creek 2.41,NAD83,Tioga County,FALSE,,36107,020501030605,New York,Upper Susquehanna
BCVM.CAYCRE2.59,CAYCRE2.59,Cayuta Creek 2.59,42.01129,-76.526373,,Lower Cayuta Creek,Cayuta Creek 2.59,NAD83,Tioga County,FALSE,,36107,020501030605,New York,Upper Susquehanna
NYWS.CHOCRE2.06,CHOCRE 2.06,,42.071295,-76.046823,,Lower Chocohut Creek,Choconut Creek,NAD83,Broome County,FALSE,,36007,020501030204,New York,
NYWS.CHOCRE4.10,CHOCRE 4.10,,42.052671,-76.035175,,Lower Chocohut Creek,Choconut Creek at Sheedy,NAD83,Broome County,FALSE,,36007,020501030204,New York,
NYWS.CLACRE0.38,CLACRE 0.38,,42.44695,-75.59917,,Lyon Brook-Chenango River,Drinking Water Supply,NAD83,Chenango County,FALSE,,36017,020501020610,New York,
NYWS.COHRIV14.19,COHRIV 14.19,,42.288608,-77.226734,,Smith Run-Cohocton River,Cohocton River at Savona Bridge,NAD83,Steuben County,FALSE,,36101,020501050207,New York,
NYWS.COHRIV15.85,COHRIV 15.85,,42.303269,-77.24805,,Smith Run-Cohocton River,Cohocton @ Scudder Road,NAD83,Steuben County,FALSE,,36101,020501050207,New York,
NYWS.COHRIV19.0,COHRIV 19.0,,42.3256,-77.3111,,Knight Creek-Cohocton River,Cohocton River 1 foot upstream,NAD83,Steuben County,FALSE,,36101,020501050206,New York,
NYWS.COHRIV20.44,COHRIV 20.44,,42.312687,-77.280848,,Knight Creek-Cohocton River,Cohocton River @ Rt 11,NAD83,Steuben County,FALSE,,36101,020501050206,New York,
NYWS.COHRIV23.00,COHRIV 23.00,,42.3573,-77.3499,,Knight Creek-Cohocton River,Cohocton River miles upstream of outflow,NAD83,Steuben County,FALSE,,36101,020501050206,New York,
NYWS.COLCRE0.75,COLCRE 0.75,,42.25442,-77.58364,,Colonel Bills Creek,Colonel Bills Creek,NAD83,Steuben County,FALSE,,36101,020501040407,New York,
NYWS.CROCRE0.22,CROCRE 0.22,,42.16013,-76.070314,,Crocker Creek,Crocker Creek at route 26,NAD83,Broome County,FALSE,,36007,020501030103,New York,
NYWS.CROCRE0.60,CROCRE 0.60,,42.156437,-76.075449,,Crocker Creek,Crocker at route 38b,NAD83,Broome County,FALSE,,36007,020501030103,New York,
NYWS.CURCRE1.03,CURCRE 1.03,,42.2073,-77.17738,,Curtis Creek-Cohocton River,Curtis Creek,NAD83,Steuben County,FALSE,,36101,020501050307,New York,
NYWS.DEECRE0.09,DEECRE 0.09,,42.053256,-76.1674,,Apalachin Creek,Deerlick Creek,NAD83,Tioga County,FALSE,,36107,020501030501,New York,
TUCCC.EBOWCR001,EBOWCR001,East Branch Owego Creek,42.16832,-76.24582,,Lower East Branch Owego Creek-Owego Creek,East Branch Owego Creek,NAD83,Tioga County,FALSE,,36107,020501030409,New York,
TUCCC.EBOWCR002,EBOWCR002,East Branch Owego Creek,42.19397,-76.20567,,Lower East Branch Owego Creek-Owego Creek,East Branch Owego Creek,NAD83,Tioga County,FALSE,,36107,020501030409,New York,
OCCA.ELKCRE0.05,ELKCRE 0.05,Elk Creek 0.05,42.54499,-74.84201,,Elk Creek,State Highway 7east of Valder Road (west of the town of Schenevus),NAD83,Otsego County,FALSE,,36077,020501010302,New York,Upper Susquehanna
NYWS.ELLBRO0.42,ELLBRO 0.42,,42.045239,-76.447626,,Parks Creek-Susquehanna River,Butson Creek at 17C,NAD83,Tioga County,FALSE,,36107,020501030706,New York,
NYWS.FIVCRE0.27,FIVCRE 0.27,,42.378255,-77.368395,,Lower Fivemile Creek,5 Mile Creek @ Kanona,NAD83,Steuben County,FALSE,,36101,020501050203,New York,
NYWS.FIVCRE13.37,FIVCRE 13.37,,42.500439,-77.280603,,Upper Fivemile Creek,Five Mile Creek,NAD83,Steuben County,FALSE,,36101,020501050201,New York,
