Date,Time,StationName,StationCode,Latitude,Longitude,GroupCode,SampleId,SampleDepth,Air temperature (AT.5),Air temperature (AT.5) Code,Air temperature (AT.5) Problem,Air temperature (AT.5) Qualifier,Air temperature (AT.5) Tier,Air temperature (AT.5) Units,Air temperature (AT.6),Air temperature (AT.6) Code,Air temperature (AT.6) Problem,Air temperature (AT.6) Qualifier,Air temperature (AT.6) Tier,Air temperature (AT.6) Units,Bacteria (E.Coli) (ECOLI.1),Bacteria (E.Coli) (ECOLI.1) Code,Bacteria (E.Coli) (ECOLI.1) Problem,Bacteria (E.Coli) (ECOLI.1) Qualifier,Bacteria (E.Coli) (ECOLI.1) Tier,Bacteria (E.Coli) (ECOLI.1) Units,Conductivity (CO.1),Conductivity (CO.1) Code,Conductivity (CO.1) Problem,Conductivity (CO.1) Qualifier,Conductivity (CO.1) Tier,Conductivity (CO.1) Units,Dissolved oxygen (DO.2),Dissolved oxygen (DO.2) Code,Dissolved oxygen (DO.2) Problem,Dissolved oxygen (DO.2) Qualifier,Dissolved oxygen (DO.2) Tier,Dissolved oxygen (DO.2) Units,Dissolved oxygen (DO.4),Dissolved oxygen (DO.4) Code,Dissolved oxygen (DO.4) Problem,Dissolved oxygen (DO.4) Qualifier,Dissolved oxygen (DO.4) Tier,Dissolved oxygen (DO.4) Units,Nitrate-nitrogen (NO3N.1),Nitrate-nitrogen (NO3N.1) Code,Nitrate-nitrogen (NO3N.1) Problem,Nitrate-nitrogen (NO3N.1) Qualifier,Nitrate-nitrogen (NO3N.1) Tier,Nitrate-nitrogen (NO3N.1) Units,Orthophosphate (OP.1),Orthophosphate (OP.1) Code,Orthophosphate (OP.1) Problem,Orthophosphate (OP.1) Qualifier,Orthophosphate (OP.1) Tier,Orthophosphate (OP.1) Units,pH (PH.3),pH (PH.3) Code,pH (PH.3) Problem,pH (PH.3) Qualifier,pH (PH.3) Tier,pH (PH.3) Units,pH (PH.7),pH (PH.7) Code,pH (PH.7) Problem,pH (PH.7) Qualifier,pH (PH.7) Tier,pH (PH.7) Units,Salinity (SA.1),Salinity (SA.1) Code,Salinity (SA.1) Problem,Salinity (SA.1) Qualifier,Salinity (SA.1) Tier,Salinity (SA.1) Units,Total Depth (TD.1),Total Depth (TD.1) Code,Total Depth (TD.1) Problem,Total Depth (TD.1) Qualifier,Total Depth (TD.1) Tier,Total Depth (TD.1) Units,Total Dissolved Solids (TDS.1),Total Dissolved Solids (TDS.1) Code,Total Dissolved Solids (TDS.1) Problem,Total Dissolved Solids (TDS.1) Qualifier,Total Dissolved Solids (TDS.1) Tier,Total Dissolved Solids (TDS.1) Units,Water Clarity (WC.1),Water Clarity (WC.1) Code,Water Clarity (WC.1) Problem,Water Clarity (WC.1) Qualifier,Water Clarity (WC.1) Tier,Water Clarity (WC.1) Units,Water Clarity (WC.4),Water Clarity (WC.4) Code,Water Clarity (WC.4) Problem,Water Clarity (WC.4) Qualifier,Water Clarity (WC.4) Tier,Water Clarity (WC.4) Units,Water temperature (WT.10),Water temperature (WT.10) Code,Water temperature (WT.10) Problem,Water temperature (WT.10) Qualifier,Water temperature (WT.10) Tier,Water temperature (WT.10) Units,Water temperature (WT.3),Water temperature (WT.3) Code,Water temperature (WT.3) Problem,Water temperature (WT.3) Qualifier,Water temperature (WT.3) Tier,Water temperature (WT.3) Units,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 24 Hours,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,ModifiedDate,Comments
01/01/2012,12:00:00,OCCCRE 0.98,NYWS.OCCCRE0.98,42.078057,-75.64839,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,570,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21T17:08:55.353,
01/01/2012,12:00:00,EBOWCR001,TUCCC.EBOWCR001,42.16832,-76.24582,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,222,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,150,TDS.1,,,1,mg/L,,,,,,,,,,,,,5.888888889,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.077,
01/01/2012,12:00:00,EBOWCR002,TUCCC.EBOWCR002,42.19397,-76.20567,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,209,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,140,TDS.1,,,1,mg/L,,,,,,,,,,,,,5.777777778,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.2,
01/01/2012,12:00:00,NANTCR001,TUCCC.NANTCR001,42.21541,-76.03917,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,101,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,60,TDS.1,,,1,mg/L,,,,,,,,,,,,,6.5,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.31,
01/01/2012,12:00:00,OWEGCR001,TUCCC.OWEGCR001,42.1269,-76.27025,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,198,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,130,TDS.1,,,1,mg/L,,,,,,,,,,,,,6.055555556,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.433,
01/01/2012,12:00:00,WBOWCR001,TUCCC.WBOWCR001,42.18568,-76.24733,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,133,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,90,TDS.1,,,1,mg/L,,,,,,,,,,,,,5.5,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.683,
01/01/2012,12:00:00,WBOWCR002,TUCCC.WBOWCR002,42.23278,-76.23418,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,136,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,90,TDS.1,,,1,mg/L,,,,,,,,,,,,,5.555555556,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:19:32.81,
01/01/2014,12:00:00,BWC001,NYWS.BWC001,42.40083,-75.63361,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,81.3,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:09.94,
01/01/2014,12:00:00,CLACRE 0.38,NYWS.CLACRE0.38,42.44695,-75.59917,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,138.3,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:19:37.613,
01/01/2015,12:00:00,GLABRO 2.27,NYWS.GLABRO2.27,42.618856,-75.768206,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,110,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:21:18.863,
01/02/2016,12:00:00,BUTCRE 0.43,NYWS.BUTCRE0.43,42.0507,-76.4518,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,217,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:07.723,
01/03/2013,12:00:00,GLABRO 2.27,NYWS.GLABRO2.27,42.618856,-75.768206,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,107.4,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:21:14.66,
01/03/2016,12:00:00,FIVCRE 13.37,NYWS.FIVCRE13.37,42.500439,-77.280603,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,280,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:20:55.113,
01/04/2015,12:00:00,CANRIV 55.88,NYWS.CANRIV55.88,42.363376,-77.820421,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,72,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:19:11.567,
01/04/2015,12:00:00,FIVCRE 13.37,NYWS.FIVCRE13.37,42.500439,-77.280603,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,354,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:20:49.02,
01/04/2015,12:00:00,LITCRE 0.85,NYWS.LITCRE0.85,42.091286,-76.220501,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,196.4,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:22:53.427,
01/04/2015,12:00:00,TIORIV 3.41,NYWS.TIORIV3.41,42.121018,-77.129189,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,270,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:29:41.55,
01/04/2015,12:00:00,UNTCANRIV 0.15,NYWS.UNTCANRIV0.15,42.366514,-77.775254,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,80.6,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:31:25.223,
01/04/2015,12:00:00,UNTHODCRE 0.60,NYWS.UNTHODCRE0.60,42.174488,-77.09934,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,136,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:33:09.257,
01/04/2015,12:00:00,UNTLITCRE 1.96,NYWS.UNTLITCRE1.96,42.10903,-76.161328,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,186.9,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:34:06.27,
01/05/2013,12:00:00,NEWCRE 5.00,NYWS.NEWCRE5.00,42.143654,-76.812171,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,370,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:24:30.753,
01/05/2013,12:00:00,SINSINCRE 0.71,NYWS.SINSINCRE0.71,42.10466,-76.922193,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,341,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:28:01.427,
01/05/2014,12:00:00,CANCRE 10.52,NYWS.CANCRE10.52,42.267864,-77.758776,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,377,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:18.16,
01/05/2014,12:00:00,CANCRE  12.44,NYWS.CANCRE12.44,42.256935,-77.789058,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,319,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:29.473,
01/05/2014,12:00:00,CANCRE13.29,NYWS.CANCRE13.29,42.25226,-77.8027,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,149.1,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:35.91,
01/05/2014,12:00:00,CANRIV 55.88,NYWS.CANRIV55.88,42.363376,-77.820421,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,80,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:19:05.643,
01/05/2014,12:00:00,EBOWCR001,TUCCC.EBOWCR001,42.16832,-76.24582,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,240,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,160,TDS.1,,,1,mg/L,,,,,,,,,,,,,3.277777778,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:28:26.64,
01/05/2014,12:00:00,EBOWCR002,TUCCC.EBOWCR002,42.19397,-76.20567,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,230,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,160,TDS.1,,,1,mg/L,,,,,,,,,,,,,1.5,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:28:27.53,
01/05/2014,12:00:00,OWEGCR001,TUCCC.OWEGCR001,42.1269,-76.27025,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,225,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,7,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,160,TDS.1,,,1,mg/L,,,,,,,,,,,,,1.055555556,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:28:28.437,
01/05/2014,12:00:00,WBOWCR001,TUCCC.WBOWCR001,42.18568,-76.24733,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,220,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,140,TDS.1,,,1,mg/L,,,,,,,,,,,,,3.833333333,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:28:29.233,
01/05/2014,12:00:00,WBOWCR002,TUCCC.WBOWCR002,42.23278,-76.23418,TUCCC,1,0.3,,,,,,,,,,,,,,,,,,,166,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,6,PH.3,,,1,SU,,,,,,,,,,,,,,,,,,,110,TDS.1,,,1,mg/L,,,,,,,,,,,,,3.555555556,WT.10,,,1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25T15:28:30.013,
01/05/2017,12:00:00,CASCRE 0.87,NYWS.CASCRE0.87,42.168823,-75.899533,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,230,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:19:21.223,
01/05/2017,12:00:00,GLECASCRE 0.31,NYWS.GLECASCRE0.31,42.180776,-75.907419,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,155.9,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:21:21.863,
01/06/2013,12:00:00,CANCRE 10.52,NYWS.CANCRE10.52,42.267864,-77.758776,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,328,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:13.973,
01/06/2013,12:00:00,CANCRE  12.44,NYWS.CANCRE12.44,42.256935,-77.789058,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,252,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:18:24.19,
01/06/2013,12:00:00,FIVCRE 13.37,NYWS.FIVCRE13.37,42.500439,-77.280603,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,294,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:20:36.067,
01/06/2013,12:00:00,LITSNACRE 0.39,NYWS.LITSNACRE0.39,42.027603,-75.801853,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,119.5,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:23:10.317,
01/06/2013,12:00:00,PIECRE 0.19,NYWS.PIECRE0.19,42.100281,-75.890436,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,214,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:26:27.677,
01/06/2014,12:00:00,TIORIV 3.41,NYWS.TIORIV3.41,42.121018,-77.129189,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,243,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:29:29.66,
01/06/2014,12:00:00,UNTHODCRE 0.60,NYWS.UNTHODCRE0.60,42.174488,-77.09934,NYWS,1,0.3,,,,,,,,,,,,,,,,,,,148,CO.1,,,2,uS/cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,TDS.1,,,1,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18T16:32:56.24,
