Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
LCCD.AnnanRun,Annan Run,Annan Run,39.897857,-75.995203,,Valley Creek-East Branch Octoraro Creek,Creek Road - downstream for chemistry; Upstream for macros,NAD83,Lancaster County,FALSE,,42071,020503061402,Pennsylvania,
TUCCC.ARCTSP001,ARCTSP001,arctic springs -six mile,40.90468,-78.10922,,Sixmile Run,arctic springs -six mile,NAD83,Centre County,FALSE,,42027,020502010505,Pennsylvania,
TUCCC.ARTISP001,ARTISP001,arctic springs -six mile,40.90458,-78.10922,,Sixmile Run,arctic springs -six mile,NAD83,Centre County,FALSE,,42027,020502010505,Pennsylvania,
AWA.AS,AS,,39.805725,-77.574917,,West Branch Antietam Creek,Aden Spring,NAD83,Franklin County,FALSE,,42055,020700041003,Pennsylvania,Potomac
TUCCC.ASAPRU002,ASAPRU002,Asaph Run,41.781908,-77.433016,,Asaph Run,Asaph Run,NAD83,Tioga County,FALSE,,42117,020502050302,Pennsylvania,
TUCCC.ASPARU001,ASPARU001,Asaph Run,41.79165,-77.44603,,Asaph Run,Asaph Run,NAD83,Tioga County,FALSE,,42117,020502050302,Pennsylvania,
AWA.ATAS,ATAS,,39.788233,-77.487814,,East Branch Antietam Creek,AT Antietam Shelter,NAD83,Franklin County,FALSE,,42055,020700041002,Pennsylvania,Potomac
AWA.B,B,,39.765053,-77.516044,,East Branch Antietam Creek,Brookdale,NAD83,Franklin County,FALSE,,42055,020700041002,Pennsylvania,Potomac
TUCCC.BABBCR001,BABBCR001,Babb Creek,41.6851,-77.19785,,Headwaters Babb Creek,Babb Creek,NAD83,Tioga County,FALSE,,42117,020502050401,Pennsylvania,
TUCCC.BABBCR002,BABBCR002,Babb Creek,41.59661,-77.29014,,Long Run-Babb Creek,Babb Creek,NAD83,Tioga County,FALSE,,42117,020502050405,Pennsylvania,
TUCCC.BABBCR003,BABBCR003,Babb Creek,41.64204,-77.20837,,Headwaters Babb Creek,Babb Creek,NAD83,Tioga County,FALSE,,42117,020502050401,Pennsylvania,
