Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
RAS.09-PL21-Sug-SLR4,09-PL21-Sug-SLR4,,38.9787922,-77.3643976,,Sugarland Run,NULL,NAD83,Fairfax County,FALSE,NULL,51059,020700080905,Virginia,Potomac
RAS.09-PL22-Sna-DR19,09-PL22-Sna-DR19,,38.9298922,-77.3458976,,Difficult Run,NULL,NAD83,Fairfax County,FALSE,NULL,51059,020700081004,Virginia,Potomac
CWT.1.1,1.1,James River at Stone Harbor HOA Dock,37.5619,-77.6532,,East Branch Tuckahoe Creek-James River,Test site is on a private dock of the Stone Harbor Homeowners Association,NAD83,Henrico County,FALSE,,51087,020802050606,Virginia,James
CWT.10,10,,37.5271,-77.5643,,Little Westham Creek-James River,Behind Bon Air Elementary School,NAD83,Chesterfield County,FALSE,,51041,020802050607,Virginia,James
CWT.11,11,,37.5142,-77.5493,,Little Westham Creek-James River,North of culvert under Poplar Hollow Trail,NAD83,Chesterfield County,FALSE,,51041,020802050607,Virginia,James
CWT.14,14,,37.5543,-77.604,,East Branch Tuckahoe Creek-James River,Upstream of boat slip at the Virginia Powerboat Association property,NAD83,Chesterfield County,FALSE,,51041,020802050606,Virginia,James
CWT.15,15,,37.3306,-77.7275,,Winterpock Creek,20 feet upstream of River Road bridge,NAD83,Chesterfield County,FALSE,,51041,020802070802,Virginia,James
CWT.16,16,,37.4473,-77.739,,Swift Creek Reservoir-Swift Creek,At Mount Hermon Road bridge on south bank of creek,NAD83,Chesterfield County,FALSE,,51041,020802070901,Virginia,James
CWT.18,18,,37.4435,-77.5221,,Falling Creek,At end of a cul de sac on a residential road northwest of Belmont Road,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
MDE.1806011,1806011,,37.929722,-75.775,,East Creek-Pocomoke Sound,,NAD83,Accomack County,TRUE,,51001,020801110502,Virginia,Lower Chesapeake
MDE.1807012,1807012,,37.979583,-75.637114,,Bullbegger Creek-Pocomoke River,,NAD83,Accomack County,TRUE,,51001,020801110402,Virginia,Lower Chesapeake
ACB.19,19,Levy Pier 19,37.1796,-76.4425,,Poquoson River-Lower Chesapeake Bay,Levy Pier,NAD83,York County,TRUE,,51199,020801080101,Virginia,
CWT.2,2,,37.4542,-77.5804,,Falling Creek,Sample taken from wooden bridge that leads to the wetlands area Park at the nature center and walk 1/4 mile on paved trail,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.20,20,,37.491,-77.5754,,Falling Creek,North bank of creek next to Shenandoah Community Association parking lot,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.202,202,,37.47825,-77.63507,,Falling Creek,Near west shore 150 yards from dam,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.204,204,,37.47634,-77.6302,,Falling Creek,off south shore 600 yards from dam,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.21,21,,37.44191,-77.56483,,Falling Creek,North of picnic shelter at Fernbrook Park,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.23,23,,37.3837,-77.6666,,Third Branch-Swift Creek,On pedestrian trail behind 14337 Forest Row Trail,NAD83,Chesterfield County,FALSE,,51041,020802070902,Virginia,James
CWT.24,24,,37.3682,-77.5187,,Third Branch-Swift Creek,South bank of creek at 7700 Old Beach Road at base of historic bridge abutment,NAD83,Chesterfield County,FALSE,,51041,020802070902,Virginia,James
CWT.26,26,,37.5518,-77.6633,,Bernards Creek-James River,West of Kings Farm Drive culvert north bank of creek,NAD83,Chesterfield County,FALSE,,51041,020802050604,Virginia,James
CWT.29,29,,37.4416,-77.7119,,Swift Creek Reservoir-Swift Creek,On pedestrian trail behind 4400 Lake Summer Place next to sewer access cover,NAD83,Chesterfield County,FALSE,,51041,020802070901,Virginia,James
CWT.3,3,,37.4917,-77.6429,,Falling Creek,50 yards west of Groveton Terrace,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.3.1,3.1,,37.497,-77.6451,,Falling Creek,Upstream pavilion in Midlothian Mines Park ,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
CWT.30,30,,37.4086,-77.7132,,Swift Creek Reservoir-Swift Creek,South bank of creek west of Prescotts Level Culvert,NAD83,Chesterfield County,FALSE,,51041,020802070901,Virginia,James
CWT.31,31,,37.4914,-77.541,,Falling Creek,West side of creek at the head of the nature trail ,NAD83,Chesterfield County,FALSE,,51041,020802060102,Virginia,James
