StationName,Latitude,Longitude,GroupCode,Time,month,year,HUC12,do,tn,tp,watertemp,airtemp_narr,precip3_narr,precip24_narr,precip48_narr,windspeed_narr
BRCR2,38.5674,-75.6211,NWA,18:50:00,6,2017,020801090205,10.6,4.42,0.12,27.8,29.454498,0.16714957,1.6409364,1.440587,53.001755
DECR3,38.644607,-75.579428,NWA,08:50:00,6,2017,020801090102,5.5,2.51,0.049,26.8,23.881744,0.0,0.4765625,21.534084,64.398796
HC,38.9678,-76.4971,SCC,9:27:00,5,2018,020600040203,14.52,0.9,0.0439,17.1,16.628082,0.0,0.40174955,0.4675693,6.2106905
MANA7,38.25951,-75.91222,NWA,6:00:00,5,2019,020801090505,7.2,2.13,0.05,22.9,19.35727,0.0,0.41489014,0.45546538,14.622525
MANA2,38.5124,-75.7561,NWA,8:00:00,5,2018,020801090501,5.3,2.57,0.14,19.6,18.147675,0.0,0.011623688,1.9178737,5.4565177
QUCR1,38.3664,-75.7722,NWA,17:12:00,8,2019,020801090503,5.2,0.702,0.542,24.1,25.293854,0.03125,0.2421875,8.6171875,38.72867
TRAN1,38.5508,-75.9528,NWA,9:40:00,10,2017,020801100101,4.4,4.17,0.26,16.2,15.403168,0.0,0.0,3.9609375,7.1304326
8-NAR-4-LACA,38.069722,-77.7875,LACA,09:28:00,6,2016,020801060602,10.13,0.52,0.01,27.02,21.664948,0.046875,0.0,0.09701781,4.922917
DEHE1,38.7475,-75.5816,NWA,09:47:00,4,2019,020801090402,10.7,4.662,0.016,12.3,11.551544,0.0,0.0,0.10356131,1.986949
JABR2,38.55495,-75.53978,NWA,08:42:00,10,2019,020801090202,6.7,8.71,0.02,16.7,21.431915,0.0078125,0.0859375,0.171875,57.50483
JABR2,38.55495,-75.53978,NWA,08:58:00,9,2019,020801090202,6.3,7.24,0.05,18.5,19.958649,0.0,0.109375,0.22069769,4.046775
BRCR1,38.5645,-75.6723,NWA,08:30:00,6,2018,020801090205,5.0,3.92,0.05,25.0,20.760406,0.0005352434,0.0,0.039597742,5.092522
FOB BT02,39.480444,-75.902528,FB,17:32:00,5,2019,020600020206,11.51,0.842,0.054,16.7,19.809479,0.0,0.52504265,5.987597,29.525764
MANA1,38.5456,-75.7175,NWA,8:30:00,6,2017,020801090406,6.3,2.25,0.049,27.3,23.194244,0.0,0.96875,21.260647,30.64341
MAHO3,38.7627,-75.723,NWA,12:30:00,7,2018,020801090303,7.1,4.7,0.05,24.2,28.45816,0.1015625,0.03125,0.13537353,19.43334
MAHO5,38.545,-75.7627,NWA,9:40:00,7,2019,020801090307,8.4,1.554,0.083,29.2,25.092438,0.0,0.06279952,0.07061202,12.154951
LIBL4,38.51675,-76.0808,NWA,9:00:00,10,2018,020801100202,2.5,1.3,0.34,11.7,3.1455688,0.0,0.0,1.265625,2.0895972
P13,38.23637,-77.97138,LACA,11:01:00,4,2013,020801060501,8.4,0.56,0.07,14.98,13.585144,0.0078125,1.109375,0.4768191,54.499733
8-COL-40-LACA,37.984722,-77.766944,LACA,09:25:00,6,2019,020801060603,8.36,0.64,0.02,27.71,13.348297,0.0,0.0009905621,0.0041645914,2.5553608
P7,38.22682,-77.98037,LACA,12:10:00,6,2017,020801060501,9.06,0.48,0.05,19.54,24.221588,0.0,0.9296875,0.38502857,46.796417
8-ELK-42-LACA,38.025278,-77.806944,LACA,09:00:00,8,2013,020801060603,6.89,0.43,0.01,31.68,19.282135,7.6796875,3.449021,12.105271,1.669112
DEHE4,38.643,-75.5929,NWA,17:30:00,7,2018,020801090405,7.1,3.57,0.05,28.4,33.267975,0.0,0.00027497648,0.00027497648,2.653958
JABR1,38.5546,-75.5394,NWA,09:00:00,7,2017,020801090202,5.5,2.0,0.12,20.5,17.546051,0.0,0.0,4.969479,0.107708134
DENA2,38.6336,-75.6177,NWA,08:03:00,7,2017,020801090405,5.2,1.66,0.05,22.6,17.546051,0.0,0.0,4.969479,0.107708134
MAHO3,38.7627,-75.723,NWA,8:02:00,4,2019,020801090303,6.7,3.388,0.178,15.9,9.626678,0.0,0.001024168,2.6025867,2.6348987
TRAN1,38.5508,-75.9528,NWA,9:45:00,5,2017,020801100101,7.7,1.92,0.12,12.2,11.199982,0.0,0.359375,0.3671875,25.48619
LIBL1,38.54619,-76.08297,NWA,9:20:00,7,2018,020801100202,0.7,1.84,0.41,25.0,24.98819,0.0,0.296875,0.1171875,1.3415321
RECR1,38.4016,-75.7905,NWA,9:35:00,7,2017,020801090502,4.3,2.05,0.05,29.2,25.464508,0.0,1.3203125,5.28926,7.836546
MANA5,38.3096,-75.8929,NWA,12:30:00,9,2018,020801090505,6.1,1.12,0.07,26.6,21.874176,0.703125,7.25,10.4375,39.703094
RC3,37.5147872,-77.4839271,RCC,15:10:00,10,2018,020802050607,9.4,1.54,0.1,21.0,19.71811,0.0,3.8125,3.9095864,26.917791
DEHE2,38.7283,-75.562,NWA,16:15:00,4,2018,020801090404,13.5,5.66,0.05,17.1,15.398468,0.0,0.0078125,0.010869775,5.5149727
JABR2,38.55495,-75.53978,NWA,08:34:00,7,2019,020801090202,5.4,6.37,0.068,20.4,17.078522,0.0,0.0,0.0,16.8705
RECR2P,38.4106,-75.7544,NWA,16:45:00,4,2019,020801090502,17.8,3.948,0.063,17.5,18.59436,0.0,0.0,0.3984375,27.204834
MAHO2,38.6882,-75.7701,NWA,17:15:00,4,2018,020801090305,11.6,4.56,0.05,10.3,5.7903748,0.0,0.21963084,0.24306834,45.72177
MANA2,38.5124,-75.7561,NWA,8:00:00,4,2018,020801090501,10.8,3.7,0.05,14.6,4.4920044,0.0,0.003057275,0.0053576156,4.207305
LIBL4,38.51675,-76.0808,NWA,9:00:00,5,2017,020801100202,1.2,2.25,0.72,18.1,14.812866,2.6328125,0.6015625,10.65625,3.2341812
LIBL4,38.51675,-76.0808,NWA,9:00:00,6,2019,020801100202,0.1,1.42,0.43,23.1,21.415192,0.0,0.0234375,12.5,2.8199234
MANA6,38.2712,-75.9092,NWA,9:00:00,7,2017,020801090505,6.8,0.9,0.05,25.0,20.858551,0.0,0.0,2.2741668,3.6406324
MANA5,38.3096,-75.8929,NWA,9:20:00,8,2017,020801090505,6.8,1.21,0.06,24.2,21.757233,0.0,0.0859375,6.5,28.283815
RECR2C,38.4106,-75.7544,NWA,16:00:00,9,2019,020801090502,8.8,0.51,0.05,22.1,30.895416,0.0,0.0234375,0.09375,26.604736
BACR2,38.4555,-75.7569,NWA,7:50:00,10,2019,020801090504,5.0,1.86,0.08,19.2,20.556915,0.0,0.1640625,0.3828125,20.395222
MANA3,38.4828,-75.8232,NWA,9:36:00,10,2017,020801090501,7.5,1.08,0.05,18.8,15.403168,0.0,0.0,3.9609375,7.1304326
DEHE1,38.7475,-75.5816,NWA,08:13:00,10,2019,020801090402,6.5,6.412,0.007,12.6,11.146545,0.28125,0.0,12.2109375,5.5379186
MSM,38.9699,-76.4996,SCC,9:15:00,5,2018,020600040203,15.15,0.82,0.044,16.3,16.628082,0.0,0.40174955,0.4675693,6.2106905
WECR1,38.3267,-75.8665,NWA,13:35:00,5,2018,020801090505,3.4,1.56,0.06,22.4,18.71399,0.0078125,2.2459986,4.949124,17.036293
MAHO2,38.6882,-75.7701,NWA,9:10:00,5,2017,020801090305,8.1,3.71,0.05,21.4,16.49466,0.0078125,3.78125,12.698253,11.785847
HSP,39.6022,-75.9437,ENERWA,9:25:00,6,2019,020600020102,8.5,3.96,0.05,23.8,24.607086,0.0,0.0026613628,4.479224,2.0248072
MAHO5,38.545,-75.7627,NWA,13:55:00,7,2018,020801090307,10.4,2.46,1.19,27.4,28.27066,0.0234375,0.0,0.03381103,8.551845
QUCR1,38.3664,-75.7722,NWA,15:37:00,9,2018,020801090503,4.7,1.14,0.17,22.1,22.547272,5.7109375,3.3515625,17.486431,53.491802
LIBL1,38.54619,-76.08297,NWA,9:20:00,10,2017,020801100202,1.6,1.37,0.21,21.9,22.796906,0.3046875,2.75,3.5859375,49.437607
RECR2P,38.4106,-75.7544,NWA,8:50:00,11,2017,020801090502,6.4,2.23,0.05,16.2,16.003143,0.0078125,1.265625,0.4765625,16.17398
8-NAR-3-LACA,38.053611,-77.765555,LACA,09:25:00,6,2013,020801060603,6.63,0.4,0.01,26.89,24.393707,0.0625,0.31296083,8.664523,3.4805393
8-COL-40-LACA,37.984722,-77.766944,LACA,10:00:00,10,2015,020801060603,8.11,0.39,0.01,18.29,0.94784546,0.0,0.0,0.0,14.410418
DENA4,38.6013,-75.6563,NWA,14:54:00,8,2018,020801090405,9.2,2.85,0.1,29.5,26.158844,0.0,5.2386055,12.766802,2.4607773
SMA,39.5958,-75.9441,ENERWA,15:10:00,4,2019,020600020102,9.02,2.51,0.05,17.0,13.914124,0.0,14.203125,7.71875,126.39727
MAC,38.9732,-76.4924,SCC,8:36:00,5,2018,020600040203,14.75,0.81,0.0345,16.6,14.227203,0.0,0.40174955,0.46748406,21.873169
HW,38.9695,-76.5023,SCC,9:08:00,5,2018,020600040203,7.75,0.8,0.1192,23.0,17.027863,0.0,0.4296875,0.234375,7.7757416
